Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-07 05:20:00-05:00,734.75,736.0,734.75,735.5,141,0,0
2022-12-07 05:25:00-05:00,735.75,736.5,735.0,735.75,149,0,0
2022-12-07 05:40:00-05:00,736.25,737.75,736.0,737.5,224,0,0
2022-12-07 05:45:00-05:00,737.5,737.5,736.75,736.75,114,0,0
2022-12-07 05:50:00-05:00,736.75,737.5,736.75,737.5,22,0,0
2022-12-07 05:55:00-05:00,737.75,741.0,737.0,739.5,580,0,0
2022-12-07 06:00:00-05:00,739.75,739.75,738.0,738.0,123,0,0
2022-12-07 06:05:00-05:00,737.75,738.75,737.75,737.75,48,0,0
2022-12-07 06:10:00-05:00,737.75,738.75,737.5,738.0,83,0,0
2022-12-07 06:15:00-05:00,738.0,738.0,737.0,738.0,58,0,0
2022-12-07 06:20:00-05:00,738.0,738.25,737.25,737.5,54,0,0
2022-12-07 06:25:00-05:00,737.75,738.5,737.25,738.5,42,0,0
2022-12-07 06:30:00-05:00,738.5,739.0,737.75,739.0,27,0,0
2022-12-07 06:35:00-05:00,738.75,739.0,738.25,738.5,11,0,0
2022-12-07 06:40:00-05:00,738.0,738.0,737.75,737.75,23,0,0
2022-12-07 06:45:00-05:00,737.5,737.75,736.25,737.0,110,0,0
2022-12-07 06:50:00-05:00,737.0,737.0,736.25,736.75,44,0,0
2022-12-07 06:55:00-05:00,737.0,737.0,736.0,736.25,56,0,0
2022-12-07 07:00:00-05:00,736.25,737.25,736.25,736.75,26,0,0
2022-12-07 07:05:00-05:00,736.75,736.75,735.75,736.25,71,0,0
2022-12-07 07:10:00-05:00,736.75,737.25,736.75,737.25,18,0,0
2022-12-07 07:15:00-05:00,737.5,737.75,736.0,736.5,147,0,0
2022-12-07 07:20:00-05:00,736.25,737.75,736.25,737.75,36,0,0
2022-12-07 07:25:00-05:00,737.75,738.0,737.25,737.5,43,0,0
2022-12-07 07:30:00-05:00,737.5,737.75,737.0,737.5,36,0,0
2022-12-07 07:35:00-05:00,737.0,738.0,736.25,736.75,34,0,0
2022-12-07 07:40:00-05:00,736.25,737.25,736.25,736.5,41,0,0
2022-12-07 07:45:00-05:00,737.0,737.25,736.75,736.75,56,0,0
2022-12-07 07:50:00-05:00,736.75,737.25,736.75,737.0,26,0,0
2022-12-07 07:55:00-05:00,737.25,738.0,737.0,738.0,82,0,0
